Cooling Rate,Best Score,Worst Score,Average Score,Fastest Time (s),Slowest Time (s),Average Time (s)
0.9,242,488,385.8,0.00141963,0.00145788,0.00144018
0.95,170,481,294.8,0.0027636,0.00282108,0.00279404
0.99,83,295,143.7,0.0135483,0.0137743,0.0136689
0.995,53,115,83,0.0270091,0.0272646,0.0271294
0.999,44,56,51.1,0.135069,0.135656,0.135325
0.9995,36,50,45.9,0.270019,0.271498,0.270708
0.9999,33,39,34.8,1.34958,1.35221,1.35075
0.99995,33,38,35.9,2.69721,2.78344,2.72911
0.99999,30,33,32.4,13.4064,13.6124,13.5157
