Cooling Rate,Best Score,Worst Score,Average Score,Fastest Time (s),Slowest Time (s),Average Time (s)
0.9,313,547,413.5,0.000698076,0.000854912,0.000735606
0.95,239,379,309.4,0.00137903,0.00206917,0.0015291
0.99,129,199,158.2,0.00695169,0.00716289,0.00703001
0.995,80,168,122.4,0.0141874,0.0144584,0.0143558
0.999,66,93,79.3,0.0722633,0.0730947,0.0726489
0.9995,62,86,72,0.145426,0.146865,0.14595
0.9999,51,68,58.2,0.729597,0.732597,0.730871
0.99995,54,63,56.5,1.46578,1.51782,1.4753
0.99999,45,62,51.1,7.41491,7.75533,7.53078
