Cooling Rate,Best Score,Worst Score,Average Score,Fastest Time (s),Slowest Time (s),Average Time (s)
0.9,284,639,462.2,0.00104409,0.00109434,0.0010631
0.95,263,546,416.4,0.00205904,0.00213876,0.00211038
0.99,216,512,406.3,0.010307,0.0104309,0.0103712
0.995,237,507,364.8,0.0204853,0.0208427,0.0206978
0.999,213,350,282,0.103477,0.10539,0.104298
0.9995,222,313,266.7,0.205903,0.217625,0.20858
0.9999,169,247,201.7,1.02557,1.03005,1.02844
0.99995,178,243,212.2,2.04793,2.06808,2.05721
0.99999,157,206,185.1,10.2538,10.3728,10.2997
